model,region,error_type,count,total,pct
clip_vitb32,af,correct,354,799,44.31
clip_vitb32,af,hallucination,332,799,41.55
clip_vitb32,af,misclassification,113,799,14.14
clip_vitb32,am,correct,454,799,56.82
clip_vitb32,am,hallucination,232,799,29.04
clip_vitb32,am,misclassification,113,799,14.14
clip_vitb32,as,correct,412,799,51.56
clip_vitb32,as,hallucination,300,799,37.55
clip_vitb32,as,misclassification,87,799,10.89
clip_vitb32,eu,correct,505,799,63.2
clip_vitb32,eu,hallucination,202,799,25.28
clip_vitb32,eu,misclassification,92,799,11.51
gemini,af,correct,374,799,46.81
gemini,af,misclassification,425,799,53.19
gemini,am,correct,476,799,59.57
gemini,am,misclassification,323,799,40.43
gemini,as,abstention,2,799,0.25
gemini,as,correct,439,799,54.94
gemini,as,misclassification,358,799,44.81
gemini,eu,abstention,1,799,0.13
gemini,eu,correct,511,799,63.95
gemini,eu,misclassification,287,799,35.92
qwen_vl,af,abstention,44,799,5.51
qwen_vl,af,correct,390,799,48.81
qwen_vl,af,misclassification,365,799,45.68
qwen_vl,am,abstention,22,799,2.75
qwen_vl,am,correct,503,799,62.95
qwen_vl,am,misclassification,274,799,34.29
qwen_vl,as,abstention,32,799,4.01
qwen_vl,as,correct,465,799,58.2
qwen_vl,as,misclassification,302,799,37.8
qwen_vl,eu,abstention,14,799,1.75
qwen_vl,eu,correct,543,799,67.96
qwen_vl,eu,misclassification,242,799,30.29
