group,n,accuracy,ci_lower,ci_upper,mean_sem_sim,mean_ctx_sim
bed,30,0.9667,0.9,1.0,0.7272,0.668
bed kids,33,0.6061,0.4538,0.7576,0.4579,0.6067
bedroom,40,0.625,0.475,0.775,0.6731,0.6381
bike,19,1.0,1.0,1.0,0.8572,0.6772
books,46,0.6957,0.5652,0.8261,0.5417,0.6225
car,20,0.75,0.55,0.9,0.5682,0.5912
ceiling,52,0.4038,0.2692,0.5577,0.427,0.5854
chickens,10,1.0,1.0,1.0,0.8374,0.6917
children room,13,0.5385,0.3077,0.8462,0.5982,0.6003
cigarettes,3,1.0,1.0,1.0,0.6385,0.6202
cleaning after toilet,2,0.5,0.0,1.0,0.4649,0.6078
cleaning equipment,41,0.3902,0.2439,0.5366,0.4772,0.5748
cleaning floors,16,0.4375,0.1875,0.6875,0.485,0.5662
cooking,2,0.5,0.0,1.0,0.4808,0.5946
cooking pots,54,0.7593,0.6477,0.8704,0.5791,0.6092
cooking utensils,36,0.6944,0.5556,0.8333,0.6369,0.6245
cosmetics,23,0.6087,0.4348,0.7826,0.5101,0.5725
couch,33,0.8788,0.7576,0.9697,0.6127,0.5251
cups/mugs/glasses,48,0.6667,0.5417,0.7917,0.5293,0.5603
cutlery,36,0.5556,0.3889,0.7222,0.5146,0.5738
diapers (or baby-pants),15,0.7333,0.5317,0.9333,0.6305,0.6289
dinner guests,7,0.4286,0.1429,0.8571,0.4044,0.5549
dish racks,31,0.6774,0.5161,0.8387,0.561,0.586
dish washing brush/cloth,45,0.3333,0.2,0.4889,0.3596,0.5513
dish washing soap,38,0.6579,0.5,0.7895,0.5045,0.6047
dishwasher,9,0.8889,0.6667,1.0,0.8661,0.6833
drainage,34,0.6176,0.4706,0.7647,0.4794,0.6056
drinking water,50,0.4,0.26,0.54,0.3687,0.5956
drying,34,0.3529,0.2059,0.5294,0.3766,0.5693
earings,25,0.64,0.44,0.8,0.5548,0.6406
everyday shoes,47,0.766,0.6383,0.8936,0.5953,0.585
family,48,0.5625,0.4167,0.688,0.5404,0.6256
family snapshots,17,0.1176,0.0,0.2941,0.2772,0.5671
favorite home decorations,25,0.08,0.0,0.2,0.2719,0.5237
fishes,12,0.3333,0.0833,0.5833,0.3828,0.559
floor,42,0.6429,0.5,0.7857,0.5398,0.6121
freezer,30,1.0,1.0,1.0,0.6966,0.6411
front door,62,0.6129,0.4839,0.7258,0.5455,0.6105
frontdoor keys,25,0.72,0.56,0.88,0.4884,0.6427
fruit trees,12,0.6667,0.4167,0.9167,0.5382,0.5721
fruits and vegetables,35,0.6286,0.4857,0.7714,0.4904,0.5575
get water,5,0.2,0.0,0.6,0.2386,0.5586
glasses or lenses,24,1.0,1.0,1.0,0.7841,0.6602
grains,33,0.3636,0.2121,0.5455,0.42,0.5217
guest bed,15,0.6,0.3333,0.8667,0.4982,0.597
hair brush/comb,56,0.9107,0.8393,0.9821,0.6762,0.6364
hallway,3,0.3333,0.0,1.0,0.4698,0.5808
hand back,53,0.7925,0.6792,0.9057,0.554,0.6107
hand palm,53,0.9811,0.9434,1.0,0.6879,0.6321
hand washing,39,0.4615,0.3077,0.6154,0.5053,0.6065
home,55,0.2364,0.1273,0.3455,0.3691,0.572
icons,17,0.0,0.0,0.0,0.181,0.5017
idols,12,0.0,0.0,0.0,0.168,0.5106
jewelry,22,0.9091,0.7727,1.0,0.6965,0.6277
kitchen,45,0.6222,0.4667,0.7778,0.6187,0.6218
kitchen sink,37,0.7297,0.5946,0.8649,0.738,0.6567
knifes,30,0.9,0.8,1.0,0.6685,0.6453
latest furniture bought,12,0.1667,0.0,0.4167,0.2896,0.5462
light source in kitchen,35,0.4286,0.2857,0.6,0.4151,0.6097
light source in livingroom,43,0.2558,0.1395,0.3953,0.3476,0.5978
light sources,10,0.0,0.0,0.0,0.2919,0.5841
lightsources by bed,6,0.0,0.0,0.0,0.3219,0.5849
living room,30,0.3333,0.1667,0.5,0.4674,0.59
lock on front door,47,0.7234,0.5957,0.8511,0.5596,0.6301
make up,10,0.0,0.0,0.0,0.2752,0.5593
meat or fish,23,0.2174,0.087,0.4348,0.3492,0.5436
medication,37,0.5676,0.4054,0.7297,0.4968,0.5946
menstruation pads / tampax,18,0.5,0.2778,0.7222,0.4039,0.5714
moped/motorcycle,6,1.0,1.0,1.0,0.5678,0.6068
mosquito protection,22,0.5455,0.3636,0.7273,0.4361,0.5806
most loved item,24,0.0,0.0,0.0,0.1539,0.5271
most loved toy,23,0.4348,0.2174,0.6522,0.3883,0.5298
music equipment,19,0.2632,0.1053,0.4737,0.3929,0.5758
necklaces,15,0.9333,0.8,1.0,0.7884,0.6515
next big thing you are planning to buy,29,0.0,0.0,0.0,0.152,0.511
nicest shoes,57,0.807,0.7018,0.8947,0.5033,0.56
oven,21,0.6667,0.4762,0.8571,0.5804,0.5953
paper,19,0.4737,0.2632,0.6842,0.4344,0.6174
parking lot,13,0.3077,0.0769,0.5385,0.4327,0.5393
pen/pencils,34,0.9412,0.8529,1.0,0.6543,0.6465
pet,22,0.6364,0.4091,0.8193,0.5648,0.5391
pet foods,13,0.8462,0.6154,1.0,0.6188,0.5951
phone,31,0.8387,0.7097,0.9677,0.6255,0.6579
photo guide images,7,0.0,0.0,0.0,0.1937,0.5202
piercings,9,0.6667,0.3333,0.8889,0.4636,0.5165
place where eating dinner,50,0.48,0.34,0.62,0.4282,0.5756
place where serving guests,6,0.3333,0.0,0.8333,0.4141,0.5412
plate of food,37,0.4054,0.2703,0.5676,0.4601,0.5792
plates,31,0.6129,0.4516,0.7742,0.5167,0.5754
play area,27,0.0741,0.0,0.1852,0.3056,0.5602
power outlet,36,0.8889,0.7778,0.9722,0.6521,0.637
radio,26,0.5,0.3077,0.6923,0.5403,0.5995
refrigerator,26,0.8462,0.6923,0.9615,0.7907,0.6766
roof,57,0.6316,0.5088,0.7544,0.541,0.5891
rug,18,0.7222,0.5,0.8889,0.6417,0.62
salt,41,0.3902,0.2439,0.5366,0.4464,0.5804
shampoo,48,0.6458,0.5,0.7708,0.6187,0.6371
shaving,24,0.6667,0.4583,0.875,0.5315,0.553
shower,23,0.5652,0.3478,0.7826,0.5823,0.6085
sitting area,29,0.2069,0.069,0.3793,0.3459,0.5496
smoke and steam exit,23,0.0,0.0,0.0,0.1985,0.5329
soap for hands and body,50,0.7,0.56,0.82,0.5259,0.56
social drink,30,0.2667,0.1333,0.4333,0.3246,0.554
source of cool,29,0.0,0.0,0.0,0.2165,0.5405
source of heat,22,0.5,0.2727,0.7273,0.3642,0.5743
spices,37,0.5946,0.4324,0.7568,0.5424,0.5994
storage room,22,0.3636,0.1818,0.5455,0.4769,0.5775
stove/hob,50,0.6,0.46,0.74,0.5339,0.5909
street detail,38,0.1842,0.0789,0.3158,0.3651,0.5684
street view,55,0.3636,0.2364,0.4909,0.3957,0.5637
switch on/off,42,0.5238,0.381,0.6667,0.4213,0.612
table with food,21,0.8095,0.619,0.9524,0.6251,0.6248
tattoos,5,1.0,1.0,1.0,0.73,0.652
teeth,38,0.3158,0.1842,0.4474,0.423,0.5581
thing i dream about having,19,0.0,0.0,0.0,0.11,0.5227
toilet,46,0.8261,0.7174,0.9348,0.7866,0.6625
toilet paper,44,0.6591,0.5222,0.7955,0.6705,0.6348
tools,34,0.4118,0.2353,0.5882,0.4478,0.5865
tooth paste,34,0.7647,0.6176,0.9118,0.5784,0.661
toothbrush,36,0.8056,0.6667,0.9167,0.7469,0.6598
toys,35,0.5714,0.4286,0.7143,0.5083,0.5535
transport of heavy things,4,0.0,0.0,0.0,0.1821,0.553
trash/waste,30,0.6667,0.4667,0.8333,0.5344,0.5856
tv,30,0.8667,0.7333,0.9667,0.7343,0.6546
vegetable plot,8,0.25,0.0,0.625,0.3851,0.5792
vegetables,33,0.4848,0.3333,0.6667,0.4586,0.5663
visit,24,0.0,0.0,0.0,0.1465,0.5234
wall,44,0.6364,0.4994,0.7727,0.5098,0.6009
wall clock,21,0.9524,0.8571,1.0,0.8838,0.6932
wall decoration,40,0.225,0.1,0.35,0.3683,0.5445
wall inside,47,0.4894,0.3404,0.617,0.4115,0.5998
wardrobe,53,0.8302,0.717,0.9245,0.6283,0.6026
washing clothes/cleaning,39,0.641,0.4872,0.7949,0.4805,0.5832
washing detergent,46,0.6957,0.5435,0.8261,0.5108,0.5937
waste dumps,13,0.6154,0.3077,0.8462,0.4694,0.5939
wedding photos,4,0.75,0.25,1.0,0.4533,0.56
wheel barrow,10,0.7,0.4,1.0,0.5156,0.6488
work area,20,0.05,0.0,0.15,0.2344,0.5496
worship places,11,0.2727,0.0,0.5455,0.381,0.5468
